Course_Code,Course_Name,AI & LLMs,API Development,AWS,Airflow,Analytical Skills,Apache Spark,Automation,Azure,BI Tools,Bash,Big Data,BigQuery,Bioinformatics,Business Analysis,Business Concepts,Cloud Databases,Cloud Platforms,Code Quality,Compliance & Regulatory,Computer Science,Dagster,Data Analysis,Data Best Practices,Data Engineering,Data Governance,Data Management,Data Mining,Data Modeling,Data Pipeline & ETL,Data Science,Data Security,Data Visualization,Data Warehousing,Database Administration,Database Cluster & HA,Database Performance Tuning,Deep Learning,Diagramming & Documentation,Excel & Spreadsheets,Git,Google Analytics,Historical Data,IT Infrastructure,Impact Delivery,Individual-Level Data,Information Systems,Information Technology,JavaScript,KPI Framework,Kafka,Large Dataset Handling,Linux,MS SQL Server,Machine Learning,Marketing & Segmentation,Matplotlib,Microsoft Office Suite,MySQL,Natural Language Processing,NoSQL Databases,NumPy,Organization,Pandas,Pattern Analysis,Planning,PostgreSQL,Presentation Skills,Problem Solving,Production Deployment & Operations,Project Management,PySpark,Python,Quality Assurance,R,Redshift,Relational Databases,Reporting,Scikit-learn,Snowflake,Software Engineering,Solution Architecture,Stakeholder Management,Statistical Analysis,Time Management,Web Development,dbt
c1,Artificial Intelligent,100.0,70.0,0,100.0,0,100.0,70.0,0,0,50.0,0,0,0,0,0,70.0,0,80.0,0,0,30.0,0,0,100.0,0,0,0,80.0,100.0,0,0,0,100.0,80.0,0,0,100.0,0,0,100.0,0,0,0,0,0,0,0,100.0,0,100.0,0,30.0,80.0,100.0,0,0,0,80.0,50.0,70.0,0,0,0,40.0,0,70.0,0,0,70.0,0,100.0,90.0,40.0,30.0,0,90.0,0,0,0,100.0,0,0,0,0,100.0,100.0
c33,Calculus II,0,0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c12,Calculus III,0,0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,70.0,0,0,70.0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0
c13,Computer Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0
c20,Computer Programming in Data Science,100.0,100.0,0,50.0,0,50.0,80.0,0,0,50.0,0,0,0,0,0,0,0,80.0,0,0,20.0,0,0,70.0,0,0,0,0,100.0,0,0,0,0,0,0,0,100.0,0,0,100.0,0,0,0,0,0,0,0,100.0,0,60.0,0,60.0,0,100.0,0,0,0,0,100.0,0,0,0,0,50.0,0,0,0,0,50.0,0,100.0,90.0,30.0,30.0,0,0,0,0,0,100.0,0,0,0,0,100.0,80.0
c4,Data Visualization,10.0,0,10.0,0,45.0,0,0,0,70.0,0,0,0,0,80.0,65.0,0,0,0,10.0,0,0,30.0,10.0,0,10.0,10.0,50.0,50.0,0,80.0,10.0,95.0,20.0,0,0,0,0,0,45.0,0,0,0,0,40.0,0,0,0,0,60.0,0,0,0,10.0,10.0,40.0,0,70.0,10.0,0,0,0,0,0,50.0,20.0,0,65.0,20.0,0,10.0,0,20.0,0,20.0,0,0,65.0,0,0,0,0,0,20.0,0,0,0
c21,Database,60.0,100.0,0,100.0,0,100.0,100.0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,50.0,0,0,100.0,0,0,0,100.0,100.0,0,0,0,100.0,100.0,100.0,100.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,100.0,10.0,0,0,0,100.0,10.0,80.0,0,0,0,10.0,0,90.0,0,0,50.0,0,100.0,30.0,50.0,0,60.0,100.0,0,0,100.0,100.0,0,0,0,0,100.0,70.0
c3,Database Design and Administration,40.0,100.0,10.0,40.0,0,0,40.0,10.0,0,0,0,50.0,0,0,0,20.0,10.0,30.0,30.0,0,0,0,30.0,55.0,30.0,50.0,0,100.0,40.0,0,70.0,0,45.0,80.0,30.0,20.0,20.0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,10.0,0,0,0,50.0,10.0,45.0,0,0,0,10.0,0,45.0,0,0,30.0,0,0,30.0,20.0,0,0,80.0,0,0,50.0,70.0,0,0,0,0,70.0,0
c16,Differential Equations,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,60.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0
c22,Discrete Mathematics,0,10.0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,30.0,0,70.0,0,40.0,0,0,0,0,20.0,0,0,40.0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,30.0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0,10.0,0,0,0,0,0,30.0,0,0,30.0,0,0,0
